Date,Price,Open,High,Low,Vol.,Change %
03/30/2025,1.08154,1.08281,1.08495,1.0784,,
03/31/2025,1.07926,1.08186,1.083,1.07783,,
04/01/2025,1.08565,1.07919,1.09244,1.07802,,
04/02/2025,1.10514,1.08449,1.11464,1.08052,,
04/03/2025,1.09645,1.10526,1.11078,1.09242,,
04/06/2025,1.09066,1.08926,1.10502,1.08814,,
04/07/2025,1.09586,1.09068,1.0992,1.08883,,
04/08/2025,1.09484,1.09565,1.10952,1.09134,,
04/09/2025,1.12019,1.09513,1.12418,1.09432,,
04/10/2025,1.136,1.11947,1.14739,1.11902,,
04/13/2025,1.13493,1.13214,1.14247,1.1296,,
04/14/2025,1.12819,1.13479,1.13792,1.1264,,
04/15/2025,1.13986,1.12832,1.1413,1.1281,,
04/16/2025,1.13646,1.13994,1.14094,1.13352,,
04/17/2025,1.1395,1.13673,1.13978,1.13592,,
04/20/2025,1.15126,1.13973,1.15734,1.13958,,
04/21/2025,1.14209,1.15135,1.15475,1.14175,,
04/22/2025,1.13151,1.14234,1.14401,1.1308,,
04/23/2025,1.13892,1.13192,1.13982,1.13166,,
04/24/2025,1.13636,1.13864,1.1394,1.13156,,
04/27/2025,1.1422,1.13658,1.1425,1.13296,,
04/28/2025,1.13846,1.14221,1.14222,1.13704,,
04/29/2025,1.1329,1.13881,1.13998,1.13172,,
04/30/2025,1.1291,1.13293,1.13412,1.12658,,
05/01/2025,1.13005,1.129,1.13811,1.12742,,
05/04/2025,1.1315,1.13062,1.1365,1.12962,,
05/05/2025,1.13703,1.13146,1.13813,1.12798,,
05/06/2025,1.13022,1.13697,1.13784,1.12919,,
05/07/2025,1.12289,1.13082,1.13364,1.1212,,
05/08/2025,1.12487,1.12252,1.1293,1.11967,,
05/11/2025,1.10876,1.11998,1.12428,1.10654,,
05/12/2025,1.11848,1.10918,1.11949,1.10876,,
05/13/2025,1.1173,1.11866,1.1266,1.11646,,
05/14/2025,1.11863,1.11799,1.12283,1.11703,,
05/15/2025,1.11654,1.11904,1.12196,1.11311,,
05/18/2025,1.1242,1.11788,1.12884,1.11714,,
05/19/2025,1.12836,1.1241,1.1286,1.1218,,
05/20/2025,1.13312,1.12828,1.13629,1.12804,,
05/21/2025,1.12802,1.13299,1.1345,1.12556,,
05/22/2025,1.13649,1.12807,1.13759,1.1279,,
05/25/2025,1.13878,1.13672,1.14189,1.13624,,
05/26/2025,1.13282,1.13856,1.14075,1.13233,,
05/27/2025,1.12918,1.13326,1.13452,1.12839,,
05/28/2025,1.13666,1.12938,1.13848,1.12105,,
05/29/2025,1.13478,1.13718,1.139,1.13126,,
06/01/2025,1.14435,1.13491,1.14499,1.1347,,
06/02/2025,1.13704,1.14404,1.14548,1.13641,,
06/03/2025,1.1418,1.13731,1.14346,1.13572,,
06/04/2025,1.14444,1.14171,1.14951,1.14046,,
06/05/2025,1.13966,1.14456,1.14574,1.13716,,
06/08/2025,1.14208,1.13992,1.14394,1.13865,,
06/09/2025,1.14262,1.14224,1.14478,1.13729,,
06/10/2025,1.1488,1.14266,1.14997,1.14054,,
06/11/2025,1.1585,1.14861,1.16319,1.14854,,
06/12/2025,1.1551,1.15848,1.16146,1.14889,,
06/15/2025,1.15609,1.15332,1.16148,1.15237,,
06/16/2025,1.14807,1.15653,1.15809,1.14748,,
06/17/2025,1.1481,1.14813,1.15302,1.14608,,
06/18/2025,1.14966,1.14794,1.15002,1.14463,,
06/19/2025,1.15222,1.14941,1.1544,1.14916,,
06/22/2025,1.15786,1.1457,1.15818,1.14536,,
06/23/2025,1.16084,1.15786,1.16417,1.15746,,
06/24/2025,1.16598,1.16114,1.16652,1.15901,,
06/25/2025,1.17016,1.1658,1.17453,1.16544,,
06/26/2025,1.17185,1.16998,1.1754,1.1681,,
06/29/2025,1.1788,1.1731,1.17886,1.1708,,
06/30/2025,1.18058,1.17847,1.18299,1.17614,,
07/01/2025,1.1799,1.18024,1.181,1.17468,,
07/02/2025,1.17574,1.17967,1.18101,1.17174,,
07/03/2025,1.17774,1.17596,1.17876,1.17534,,
07/06/2025,1.17086,1.17857,1.17902,1.16865,,
07/07/2025,1.17256,1.17096,1.17654,1.16824,,
07/08/2025,1.17218,1.17211,1.17294,1.16897,,
07/09/2025,1.17006,1.17188,1.17497,1.16624,,
07/10/2025,1.16911,1.1699,1.17142,1.16648,,
07/13/2025,1.16656,1.16702,1.16978,1.16543,,
07/14/2025,1.16024,1.1665,1.16928,1.15929,,
07/15/2025,1.16417,1.15998,1.17217,1.15624,,
07/16/2025,1.15976,1.16372,1.16426,1.15569,,
07/17/2025,1.16254,1.1594,1.16722,1.15938,,
07/20/2025,1.16956,1.16297,1.17168,1.16147,,
07/21/2025,1.17544,1.16928,1.17608,1.16788,,
